Lap 3,"[{'subject': [{'driver': 'PER'}], 'action': 'fly', 'object': {'driver': ['MSC'], 'main': ['past']}}, {'subject': [{'driver': 'PER'}], 'action': 'move up', 'object': {'position': ['18']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | PER [SEP] Action1 | fly [SEP] Object1 | driver | MSC [SEP] Object1 | main | past [SEP] Agent2 | driver | PER [SEP] Action2 | move up [SEP] Object2 | position | 18,Perez flies past Schumacher to move up to 18th.
Lap 4,"[{'subject': [{'driver': 'MSC'}], 'action': 'box', 'object': {'main': ['for soft tyres']}}, {'subject': [{'driver': 'MSC'}], 'action': 'drop to', 'object': {'position': ['20']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | MSC [SEP] Action1 | box [SEP] Object1 | main | for soft tyres [SEP] Agent2 | driver | MSC [SEP] Action2 | drop to [SEP] Object2 | position | 20,Schumacher boxes for soft tyres and drops to 20th.
Lap 5,"[{'subject': [{'driver': 'MSC'}], 'action': 'come', 'object': {'main': ['in pits', 'for hard tyres']}}, {'subject': [{'driver': 'MSC'}], 'action': 'stay in', 'object': {'position': ['20']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | MSC [SEP] Action1 | come [SEP] Object1 | main | in pits [SEP] Object1 | main | for hard tyres [SEP] Agent2 | driver | MSC [SEP] Action2 | stay in [SEP] Object2 | position | 20,Schumacher comes in the pits for hard tyres and stays in 20th.
Lap 8,"[{'subject': [{'driver': 'PER'}], 'action': 'pit', 'object': {'main': ['for hard tyres']}}, {'subject': [{'driver': 'PER'}], 'action': 'drop to', 'object': {'position': ['19']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | PER [SEP] Action1 | pit [SEP] Object1 | main | for hard tyres [SEP] Agent2 | driver | PER [SEP] Action2 | drop to [SEP] Object2 | position | 19,Perez pits for hard tyres and drops to 19th.
Lap 9,"[{'subject': [{'driver': 'PER'}], 'action': 'stop', 'object': {'main': ['for medium tyres']}}, {'subject': [{'driver': 'PER'}], 'action': 'stay in', 'object': {'position': ['19']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | PER [SEP] Action1 | stop [SEP] Object1 | main | for medium tyres [SEP] Agent2 | driver | PER [SEP] Action2 | stay in [SEP] Object2 | position | 19,Perez stops for medium tyres and stays in 19th.
Lap 9,"[{'subject': [{'driver': 'HAM'}], 'action': 'set', 'object': {'main': ['new fastest lap'], 'lap_time': ['74.75']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | HAM [SEP] Action1 | set [SEP] Object1 | main | new fastest lap [SEP] Object1 | lap_time | 74.75,Hamilton sets a new fastest lap of 74.75s.
Lap 10,"[{'subject': [{'driver': 'VET'}], 'action': 'stop', 'object': {'main': ['for hard tyres']}}, {'subject': [{'driver': 'VET'}], 'action': 'drop to', 'object': {'position': ['19']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | VET [SEP] Action1 | stop [SEP] Object1 | main | for hard tyres [SEP] Agent2 | driver | VET [SEP] Action2 | drop to [SEP] Object2 | position | 19,Vettel pits for hard tyres and drops to 19th.
Lap 10,"[{'subject': [{'driver': 'PER'}, {'driver': 'LAT'}], 'action': 'battle', 'object': {'main': ['for P17']}}, {'subject': [{'other': 'gap'}], 'action': 'be', 'object': {'main': ['only'], 'gap': ['0s']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | PER [SEP] Action1 | battle [SEP] Object1 | main | for P17 [SEP] Agent2 | other | gap [SEP] Action2 | be [SEP] Object2 | main | only [SEP] Object2 | gap | 0s,"Perez battles for P17, but the gap is only 0s."
Lap 11,"[{'subject': [{'driver': 'VET'}], 'action': 'come', 'object': {'main': ['in pits', 'for hard tyres']}}, {'subject': [{'driver': 'VET'}], 'action': 'stay in', 'object': {'position': ['19']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | VET [SEP] Action1 | come [SEP] Object1 | main | in pits [SEP] Object1 | main | for hard tyres [SEP] Agent2 | driver | VET [SEP] Action2 | stay in [SEP] Object2 | position | 19,Vettel comes in the pits for hard tyres and stays in 19th.
Lap 12,"[{'subject': [{'driver': 'LAT'}], 'action': 'pass', 'object': {'driver': ['MAZ']}}, {'subject': [{'driver': 'LAT'}], 'action': 'move up', 'object': {'position': ['16']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | LAT [SEP] Action1 | pass [SEP] Object1 | driver | MAZ [SEP] Agent2 | driver | LAT [SEP] Action2 | move up [SEP] Object2 | position | 16,Latifi passes Mazepin to move up to 16th.
