Lap 1,"[{'subject': [{'driver': 'SAR'}], 'action': 'pass', 'object': {'driver': ['ALB']}}, {'subject': [{'driver': 'SAR'}], 'action': 'move up', 'object': {'position': ['16']}}, {'subject': [{'driver': 'OCO'}], 'action': 'fly', 'object': {'driver': ['ALB'], 'main': ['past']}}, {'subject': [{'driver': 'OCO'}], 'action': 'move up', 'object': {'position': ['17']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | SAR [SEP] Action1 | pass [SEP] Object1 | driver | ALB [SEP] Agent2 | driver | SAR [SEP] Action2 | move up [SEP] Object2 | position | 16 [SEP] Agent3 | driver | OCO [SEP] Action3 | fly [SEP] Object3 | driver | ALB [SEP] Object3 | main | past [SEP] Agent4 | driver | OCO [SEP] Action4 | move up [SEP] Object4 | position | 17,Sarrazin passes Albon to move up to 16th. Ocon flies past Leclerc to take 17th.
Lap 1,"[{'subject': [{'other': 'safety car'}], 'action': 'deploy', 'object': {'timing': ['lap 1']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | other | safety car [SEP] Action1 | deploy [SEP] Object1 | timing | lap 1,The safety car is deployed on lap 1.
Lap 2,"[{'subject': [{'driver': 'SAR'}], 'action': 'box', 'object': {'main': ['for medium tyres']}}, {'subject': [{'driver': 'SAR'}], 'action': 'drop to', 'object': {'position': ['19']}}, {'subject': [{'driver': 'PER'}], 'action': 'box', 'object': {'main': ['for hard tyres']}}, {'subject': [{'driver': 'PER'}], 'action': 'stay in', 'object': {'position': ['7']}}, {'subject': [{'driver': ['BOT']}], 'action': 'pit', 'object': {}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | SAR [SEP] Action1 | box [SEP] Object1 | main | for medium tyres [SEP] Agent2 | driver | SAR [SEP] Action2 | drop to [SEP] Object2 | position | 19 [SEP] Agent3 | driver | PER [SEP] Action3 | box [SEP] Object3 | main | for hard tyres [SEP] Agent4 | driver | PER [SEP] Action4 | stay in [SEP] Object4 | position | 7 [SEP] Agent5 | drivers | BOT [SEP] Action5 | pit,"Sarrazin boxes for medium tyres and drops to 19th, while Perez boxes for hard tyres and stays in seventh. Bottas pits."
Lap 4,"[{'subject': [{'car': 'safety car'}], 'action': 'will come', 'object': {'main': ['in pits'], 'timing': ['end of lap']}}, {'subject': [{'other': 'race'}], 'action': 'restart', 'object': {'main': ['soon']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | car | safety car [SEP] Action1 | will come [SEP] Object1 | main | in pits [SEP] Object1 | timing | end of lap [SEP] Agent2 | other | race [SEP] Action2 | restart [SEP] Object2 | main | soon,The safety car will come in the pits at the end of the race soon.
Lap 4,"[{'subject': [{'other': 'track'}], 'action': 'be', 'object': {'main': ['clear']}}, {'subject': [{'other': 'fia'}], 'action': 'note', 'object': {'main': ['incident'], 'driver': ['PER'], 'info': ['safety car infringement']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | other | track [SEP] Action1 | be [SEP] Object1 | main | clear [SEP] Agent2 | other | fia [SEP] Action2 | note [SEP] Object2 | main | incident [SEP] Object2 | driver | PER [SEP] Object2 | info | safety car infringement,"The track is clear of the fia, but note the incident of Perez's safety car infringement."
Lap 5,"[{'subject': [{'driver': 'SAR'}], 'action': 'make', 'object': {'main': ['pitstop', 'for medium tyres']}}, {'subject': [{'driver': 'SAR'}], 'action': 'drop to', 'object': {'position': ['20']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | SAR [SEP] Action1 | make [SEP] Object1 | main | pitstop [SEP] Object1 | main | for medium tyres [SEP] Agent2 | driver | SAR [SEP] Action2 | drop to [SEP] Object2 | position | 20,Sergio Perez makes a pitstop for medium tyres and drops to 20th.
Lap 6,"[{'subject': [{'driver': 'BOT'}], 'action': 'pit', 'object': {'main': ['from P19', 'to undercut'], 'driver': ['ALB']}}, {'subject': [{'driver': 'ALB'}], 'action': 'be', 'object': {'main': ['still out']}}, {'subject': [{'driver': 'SAR'}], 'action': 'enter', 'object': {'main': ['pits', 'for medium tyres']}}, {'subject': [{'driver': 'SAR'}], 'action': 'stay in', 'object': {'position': ['20']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | BOT [SEP] Action1 | pit [SEP] Object1 | main | from P19 [SEP] Object1 | main | to undercut [SEP] Object1 | driver | ALB [SEP] Agent2 | driver | ALB [SEP] Action2 | be [SEP] Object2 | main | still out [SEP] Agent3 | driver | SAR [SEP] Action3 | enter [SEP] Object3 | main | pits [SEP] Object3 | main | for medium tyres [SEP] Agent4 | driver | SAR [SEP] Action4 | stay in [SEP] Object4 | position | 20,"Bottas pits from P19 to undercut Albon, but Albon is still out. Sainz pits for medium tyres and stays in 20th."
Lap 7,"[{'subject': [{'driver': 'BOT'}], 'action': 'box', 'object': {'main': ['for hard tyres']}}, {'subject': [{'driver': 'BOT'}], 'action': 'stay in', 'object': {'position': ['20']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | BOT [SEP] Action1 | box [SEP] Object1 | main | for hard tyres [SEP] Agent2 | driver | BOT [SEP] Action2 | stay in [SEP] Object2 | position | 20,Bottas boxes for hard tyres and stays in 20th.
Lap 7,"[{'subject': [{'driver': 'PER'}], 'action': 'overtake', 'object': {'driver': ['ZHO']}}, {'subject': [{'driver': 'PER'}], 'action': 'move up', 'object': {'position': ['16']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | PER [SEP] Action1 | overtake [SEP] Object1 | driver | ZHO [SEP] Agent2 | driver | PER [SEP] Action2 | move up [SEP] Object2 | position | 16,Perez overtakes Zhou to move up to 16th.
Lap 8,"[{'subject': [{'driver': 'BOT'}], 'action': 'pit', 'object': {'main': ['from P20', 'to undercut'], 'driver': ['SAR']}}, {'subject': [{'driver': 'SAR'}], 'action': 'be', 'object': {'main': ['still out']}}, {'subject': [{'driver': 'HUL'}], 'action': 'pit', 'object': {'main': ['for medium tyres']}}, {'subject': [{'driver': 'HUL'}], 'action': 'drop to', 'object': {'position': ['18']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | BOT [SEP] Action1 | pit [SEP] Object1 | main | from P20 [SEP] Object1 | main | to undercut [SEP] Object1 | driver | SAR [SEP] Agent2 | driver | SAR [SEP] Action2 | be [SEP] Object2 | main | still out [SEP] Agent3 | driver | HUL [SEP] Action3 | pit [SEP] Object3 | main | for medium tyres [SEP] Agent4 | driver | HUL [SEP] Action4 | drop to [SEP] Object4 | position | 18,"Bottas pits from P20 to undercut Sainz, who is still out. Hulkenberg pits for medium tyres and drops to 18th."
