Lap 1,"[{'subject': [{'driver': 'SIR'}], 'action': 'fly', 'object': {'driver': ['VAN'], 'main': ['past']}}, {'subject': [{'driver': 'SIR'}], 'action': 'move up', 'object': {'position': ['15']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | SIR [SEP] Action1 | fly [SEP] Object1 | driver | VAN [SEP] Object1 | main | past [SEP] Agent2 | driver | SIR [SEP] Action2 | move up [SEP] Object2 | position | 15,Sirotkin flies past Vettel to move up to 15th.
Lap 4,"[{'subject': [{'driver': 'VAN'}], 'action': 'overtake', 'object': {'driver': ['SIR']}}, {'subject': [{'driver': 'VAN'}], 'action': 'move up', 'object': {'position': ['15']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | VAN [SEP] Action1 | overtake [SEP] Object1 | driver | SIR [SEP] Agent2 | driver | VAN [SEP] Action2 | move up [SEP] Object2 | position | 15,Vandoorne overtakes Sirotkin to move up to 15th.
Lap 5,"[{'subject': [{'driver': 'MAG'}], 'action': 'pass', 'object': {'driver': ['GRO']}}, {'subject': [{'driver': 'MAG'}], 'action': 'move up', 'object': {'position': ['9']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | MAG [SEP] Action1 | pass [SEP] Object1 | driver | GRO [SEP] Agent2 | driver | MAG [SEP] Action2 | move up [SEP] Object2 | position | 9,Magnussen passes Grosjean to move up to ninth.
Lap 5,"[{'subject': [{'driver': 'GRO'}], 'action': 'close', 'object': {'main': ['gap to'], 'driver': ['SAI']}}, {'subject': [{'other': 'gap'}], 'action': 'be', 'object': {'main': ['only', '0.37'], 'driver': ['SAI'], 'timing': ['end of lap']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | GRO [SEP] Action1 | close [SEP] Object1 | main | gap to [SEP] Object1 | driver | SAI [SEP] Agent2 | other | gap [SEP] Action2 | be [SEP] Object2 | main | only [SEP] Object2 | main | 0.37 [SEP] Object2 | driver | SAI [SEP] Object2 | timing | end of lap,Grosjean closes the gap to Sainz to only 0.37s at the end of the lap.
Lap 10,"[{'subject': [{'driver': 'HAR'}], 'action': 'stop', 'object': {'main': ['for ultrasoft tyres']}}, {'subject': [{'driver': 'HAR'}], 'action': 'drop to', 'object': {'position': ['20']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | HAR [SEP] Action1 | stop [SEP] Object1 | main | for ultrasoft tyres [SEP] Agent2 | driver | HAR [SEP] Action2 | drop to [SEP] Object2 | position | 20,Harlow pits for ultrasoft tyres and drops to 20th.
Lap 11,"[{'subject': [{'driver': 'OCO'}], 'action': 'pit', 'object': {'main': ['from P12', 'to undercut'], 'driver': ['ALO']}}, {'subject': [{'driver': 'ALO'}], 'action': 'be', 'object': {'main': ['still out']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | OCO [SEP] Action1 | pit [SEP] Object1 | main | from P12 [SEP] Object1 | main | to undercut [SEP] Object1 | driver | ALO [SEP] Agent2 | driver | ALO [SEP] Action2 | be [SEP] Object2 | main | still out,"Ocon pits from P12 to undercut Leclerc, but Alonso is still out."
Lap 12,"[{'subject': [{'driver': 'PER'}], 'action': 'stop', 'object': {'main': ['for ultrasoft tyres']}}, {'subject': [{'driver': 'PER'}], 'action': 'drop to', 'object': {'position': ['18']}}, {'subject': [{'driver': 'SAI'}], 'action': 'come', 'object': {'main': ['in pits', 'for ultrasoft tyres']}}, {'subject': [{'driver': 'SAI'}], 'action': 'drop to', 'object': {'position': ['17']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | PER [SEP] Action1 | stop [SEP] Object1 | main | for ultrasoft tyres [SEP] Agent2 | driver | PER [SEP] Action2 | drop to [SEP] Object2 | position | 18 [SEP] Agent3 | driver | SAI [SEP] Action3 | come [SEP] Object3 | main | in pits [SEP] Object3 | main | for ultrasoft tyres [SEP] Agent4 | driver | SAI [SEP] Action4 | drop to [SEP] Object4 | position | 17,"Perez pits for ultrasoft tyres and drops to 18. Sainz comes in the pits for the same tyres, dropping to 17."
Lap 13,"[{'subject': [{'driver': 'HUL'}], 'action': 'box', 'object': {'main': ['for ultrasoft tyres']}}, {'subject': [{'driver': 'HUL'}], 'action': 'drop to', 'object': {'position': ['15']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | HUL [SEP] Action1 | box [SEP] Object1 | main | for ultrasoft tyres [SEP] Agent2 | driver | HUL [SEP] Action2 | drop to [SEP] Object2 | position | 15,Hulkenberg boxes for ultrasoft tyres and drops to 15th.
Lap 13,"[{'subject': [{'driver': 'HUL'}], 'action': 'fly', 'object': {'driver': ['GAS'], 'main': ['past']}}, {'subject': [{'driver': 'HUL'}], 'action': 'move up', 'object': {'position': ['14']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | HUL [SEP] Action1 | fly [SEP] Object1 | driver | GAS [SEP] Object1 | main | past [SEP] Agent2 | driver | HUL [SEP] Action2 | move up [SEP] Object2 | position | 14,Hulkenberg flies past Gasly to move up to 14th.
Lap 13,"[{'subject': [{'driver': 'OCO'}], 'action': 'approach', 'object': {'driver': ['ERI']}}, {'subject': [{'other': 'gap'}], 'action': 'decrease', 'object': {'main': ['to', '0.59'], 'driver': ['ERI'], 'timing': ['now']}}]",Write a live blog post describing the following events in a Formula 1 race: Agent1 | driver | OCO [SEP] Action1 | approach [SEP] Object1 | driver | ERI [SEP] Agent2 | other | gap [SEP] Action2 | decrease [SEP] Object2 | main | to [SEP] Object2 | main | 0.59 [SEP] Object2 | driver | ERI [SEP] Object2 | timing | now,Ocon approaches Erize and the gap has decreased to 0.59s now.
